"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",60,"NRW_803029","GER_070_MZB_LO_438","Ems",52.2684856314486,7.45495882229068,2007,2018,12,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",60,"NRW_805002","GER_070_MZB_LO_450","Hemelter Bach",52.2713417316668,7.46091269206525,2006,2019,14,5,498.356446122535
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",1,"SH_121534","GER_071_MZB_LO_3","Stoer",54.0334868443,9.8453163554,2009,2020,12,5,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",1,"SH_121535","GER_071_MZB_LO_4","Stoer",54.0311179562,9.8409017888,2009,2020,12,5,378.547434243624
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",1,"SH_121536","GER_071_MZB_LO_5","Stoer",54.0310489159,9.8366254942,2009,2020,12,5,610.097278449853
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",2,"SH_121535","GER_071_MZB_LO_4","Stoer",54.0311179562,9.8409017888,2009,2020,12,5,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",2,"SH_121534","GER_071_MZB_LO_3","Stoer",54.0334868443,9.8453163554,2009,2020,12,5,378.547434243624
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",2,"SH_121536","GER_071_MZB_LO_5","Stoer",54.0310489159,9.8366254942,2009,2020,12,5,271.110621307037
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",2,"SH_121537","GER_071_MZB_LO_6","Stoer",54.0289945222,9.8295768175,2009,2020,12,5,753.254840965269
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",5,"SH_121541","GER_071_MZB_LO_7","Radesforder Au",53.9736931704,10.1358365318,2009,2020,12,5,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",5,"SH_121543","GER_071_MZB_LO_8","Radesforder Au",53.9758997395,10.1219753652,2009,2020,12,5,911.088946300615
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",7,"SH_123224","GER_071_MZB_LO_9","Schafflunder Muehlenstrom",54.7444882564,9.1051194589,2009,2020,12,7,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",7,"SH_123704","GER_071_MZB_LO_12","Schafflunder Muehlenstrom",54.747486892,9.1180991878,2009,2020,12,6,871.19154091648
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",8,"SH_123276","GER_071_MZB_LO_10","Schafflunder Muehlenstrom",54.7529731354,9.1394479883,2009,2020,12,5,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",8,"SH_123702","GER_071_MZB_LO_11","Schafflunder Muehlenstrom",54.749266282,9.1269909393,2009,2020,12,6,873.103577437294
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",9,"SH_123702","GER_071_MZB_LO_11","Schafflunder Muehlenstrom",54.749266282,9.1269909393,2009,2020,12,6,0
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",9,"SH_123276","GER_071_MZB_LO_10","Schafflunder Muehlenstrom",54.7529731354,9.1394479883,2009,2020,12,5,873.103577437294
"Germany","Landesamt für Umwelt (Schleswig-Holstein) (LfU)","new data call","GER_071_MZB_LO",9,"SH_123704","GER_071_MZB_LO_12","Schafflunder Muehlenstrom",54.747486892,9.1180991878,2009,2020,12,6,586.44279658138
